Treatment,Rep,Row,Col,Day,Cleared
LS,1,4,c,2,0
LS,1,5,c,2,0
LS,1,6,c,2,0
LS,1,7,c,2,0
LS,1,8,c,2,0
LS,1,9,c,2,0
LS,1,10,c,2,0
LS,1,11,c,2,0
LS,1,12,c,2,0
LS,1,13,c,2,0
LS,1,14,c,2,0
LS,1,15,c,2,0
LS,1,16,c,2,0
LS,1,17,c,2,0
LS,1,18,c,2,0
LS,1,19,c,2,0
LS,1,20,c,2,0
LS,1,1,c,4,0
LS,1,2,c,4,1
LS,1,3,c,4,0
LS,1,4,c,4,0
LS,1,5,c,4,0
LS,1,6,c,4,0
LS,1,7,c,4,0
LS,1,8,c,4,0
LS,1,9,c,4,1
LS,1,10,c,4,1
LS,1,11,c,4,0
LS,1,12,c,4,0
LS,1,13,c,4,0
LS,1,14,c,4,0
LS,1,15,c,4,0
LS,1,16,c,4,1
LS,1,17,c,4,1
LS,1,18,c,4,1
LS,1,19,c,4,1
LS,1,20,c,4,1
LS,1,1,d,2,0
LS,1,2,d,2,0
LS,1,3,d,2,0
LS,1,4,d,2,0
LS,1,5,d,2,0
LS,1,6,d,2,0
LS,1,7,d,2,0
LS,1,8,d,2,0
LS,1,9,d,2,0
LS,1,10,d,2,0
LS,1,11,d,2,0
LS,1,12,d,2,0
LS,1,13,d,2,0
LS,1,14,d,2,0
LS,1,15,d,2,0
LS,1,16,d,2,0
LS,1,17,d,2,0
LS,1,18,d,2,0
LS,1,19,d,2,0
LS,1,20,d,2,0
LS,1,1,d,4,0
LS,1,2,d,4,0
LS,1,3,d,4,0
LS,1,4,d,4,0
LS,1,5,d,4,0
LS,1,6,d,4,0
LS,1,7,d,4,0
LS,1,8,d,4,0
LS,1,9,d,4,0
LS,1,10,d,4,0
LS,1,11,d,4,0
LS,1,12,d,4,0
LS,1,13,d,4,0
LS,1,14,d,4,0
LS,1,15,d,4,0
LS,1,16,d,4,0
LS,1,17,d,4,0
LS,1,18,d,4,0
LS,1,19,d,4,0
LS,1,20,d,4,0
LS,1,1,e,2,0
LS,1,2,e,2,0
LS,1,3,e,2,0
LS,1,4,e,2,0
LS,1,5,e,2,0
LS,1,6,e,2,0
LS,1,7,e,2,0
LS,1,8,e,2,0
LS,1,9,e,2,0
LS,1,10,e,2,0
LS,1,11,e,2,0
LS,1,12,e,2,0
LS,1,13,e,2,0
LS,1,14,e,2,0
LS,1,15,e,2,0
LS,1,16,e,2,0
LS,1,17,e,2,0
LS,1,18,e,2,0
LS,1,19,e,2,0
LS,1,20,e,2,0
LS,1,1,e,4,0
LS,1,2,e,4,0
LS,1,3,e,4,0
LS,1,4,e,4,0
LS,1,5,e,4,0
LS,1,6,e,4,0
LS,1,7,e,4,0
LS,1,8,e,4,1
LS,1,9,e,4,0
LS,1,10,e,4,0
LS,1,11,e,4,0
LS,1,12,e,4,0
LS,1,13,e,4,0
LS,1,14,e,4,1
LS,1,15,e,4,1
LS,1,16,e,4,0
LS,1,17,e,4,1
LS,1,18,e,4,1
LS,1,19,e,4,1
LS,1,20,e,4,1
LS,1,1,f,2,0
LS,1,2,f,2,0
LS,1,3,f,2,0
LS,1,4,f,2,0
LS,1,5,f,2,0
LS,1,6,f,2,0
LS,1,7,f,2,0
LS,1,8,f,2,0
LS,1,9,f,2,0
LS,1,10,f,2,0
LS,1,11,f,2,0
LS,1,12,f,2,0
LS,1,13,f,2,0
LS,1,14,f,2,0
LS,1,15,f,2,0
LS,1,16,f,2,0
LS,1,17,f,2,0
LS,1,18,f,2,0
LS,1,19,f,2,0
LS,1,20,f,2,0
LS,1,1,f,4,0
LS,1,2,f,4,0
LS,1,3,f,4,0
LS,1,4,f,4,0
LS,1,5,f,4,0
LS,1,6,f,4,0
LS,1,7,f,4,0
LS,1,8,f,4,0
LS,1,9,f,4,0
LS,1,10,f,4,0
LS,1,11,f,4,0
LS,1,12,f,4,0
LS,1,13,f,4,0
LS,1,14,f,4,0
LS,1,15,f,4,0
LS,1,16,f,4,0
LS,1,17,f,4,0
LS,1,18,f,4,0
LS,1,19,f,4,0
LS,1,20,f,4,0
LS,1,1,g,2,0
LS,1,2,g,2,0
LS,1,3,g,2,0
LS,1,4,g,2,0
LS,1,5,g,2,0
LS,1,6,g,2,0
LS,1,7,g,2,0
LS,1,8,g,2,0
LS,1,9,g,2,0
LS,1,10,g,2,0
LS,1,11,g,2,0
LS,1,12,g,2,0
LS,1,13,g,2,0
LS,1,14,g,2,0
LS,1,15,g,2,0
LS,1,16,g,2,0
LS,1,17,g,2,0
LS,1,18,g,2,0
LS,1,19,g,2,0
LS,1,20,g,2,0
LS,1,1,g,4,0
LS,1,2,g,4,0
LS,1,3,g,4,0
LS,1,4,g,4,0
LS,1,5,g,4,0
LS,1,6,g,4,0
LS,1,7,g,4,1
LS,1,8,g,4,1
LS,1,9,g,4,1
LS,1,10,g,4,1
LS,1,11,g,4,1
LS,1,12,g,4,1
LS,1,13,g,4,1
LS,1,14,g,4,0
LS,1,15,g,4,0
LS,1,16,g,4,0
LS,1,17,g,4,0
LS,1,18,g,4,0
LS,1,19,g,4,1
LS,1,20,g,4,1
LS,1,1,h,2,0
LS,1,2,h,2,0
LS,1,3,h,2,0
LS,1,4,h,2,0
LS,1,5,h,2,0
LS,1,6,h,2,0
LS,1,7,h,2,0
LS,1,8,h,2,0
LS,1,9,h,2,0
LS,1,10,h,2,0
LS,1,11,h,2,0
LS,1,12,h,2,0
LS,1,13,h,2,0
LS,1,14,h,2,0
LS,1,15,h,2,0
LS,1,16,h,2,0
LS,1,17,h,2,0
LS,1,18,h,2,0
LS,1,19,h,2,0
LS,1,20,h,2,0
LS,1,1,h,4,0
LS,1,2,h,4,0
LS,1,3,h,4,0
LS,1,4,h,4,0
LS,1,5,h,4,0
LS,1,6,h,4,0
LS,1,7,h,4,0
LS,1,8,h,4,0
LS,1,9,h,4,0
LS,1,10,h,4,0
LS,1,11,h,4,0
LS,1,12,h,4,0
LS,1,13,h,4,0
LS,1,14,h,4,0
LS,1,15,h,4,0
LS,1,16,h,4,0
LS,1,17,h,4,0
LS,1,18,h,4,0
LS,1,19,h,4,0
LS,1,20,h,4,0
LS,1,1,i,2,0
LS,1,2,i,2,0
LS,1,3,i,2,0
LS,1,4,i,2,0
LS,1,5,i,2,0
LS,1,6,i,2,0
LS,1,7,i,2,0
LS,1,8,i,2,0
LS,1,9,i,2,0
LS,1,10,i,2,0
LS,1,11,i,2,0
LS,1,12,i,2,0
LS,1,13,i,2,0
LS,1,14,i,2,0
LS,1,15,i,2,0
LS,1,16,i,2,0
LS,1,17,i,2,0
LS,1,18,i,2,0
LS,1,19,i,2,0
LS,1,20,i,2,0
LS,1,1,i,4,0
LS,1,2,i,4,0
LS,1,3,i,4,0
LS,1,4,i,4,0
LS,1,5,i,4,0
LS,1,6,i,4,0
LS,1,7,i,4,0
LS,1,8,i,4,0
LS,1,9,i,4,0
LS,1,10,i,4,1
LS,1,11,i,4,0
LS,1,12,i,4,0
LS,1,13,i,4,0
LS,1,14,i,4,0
LS,1,15,i,4,0
LS,1,16,i,4,0
LS,1,17,i,4,0
LS,1,18,i,4,1
LS,1,19,i,4,1
LS,1,20,i,4,0
LS,1,1,j,2,0
LS,1,2,j,2,0
LS,1,3,j,2,0
LS,1,4,j,2,0
LS,1,5,j,2,0
LS,1,6,j,2,0
LS,1,7,j,2,0
LS,1,8,j,2,0
LS,1,9,j,2,0
LS,1,10,j,2,0
LS,1,11,j,2,0
LS,1,12,j,2,0
LS,1,13,j,2,0
LS,1,14,j,2,0
LS,1,15,j,2,0
LS,1,16,j,2,0
LS,1,17,j,2,0
LS,1,18,j,2,0
LS,1,19,j,2,0
LS,1,20,j,2,0
LS,1,1,j,4,0
LS,1,2,j,4,0
LS,1,3,j,4,0
LS,1,4,j,4,0
LS,1,5,j,4,0
LS,1,6,j,4,0
LS,1,7,j,4,0
LS,1,8,j,4,0
LS,1,9,j,4,0
LS,1,10,j,4,0
LS,1,11,j,4,0
LS,1,12,j,4,0
LS,1,13,j,4,0
LS,1,14,j,4,0
LS,1,15,j,4,0
LS,1,16,j,4,0
LS,1,17,j,4,0
LS,1,18,j,4,0
LS,1,19,j,4,0
LS,1,20,j,4,0
LS,1,1,k,2,0
LS,1,2,k,2,0
LS,1,3,k,2,0
LS,1,4,k,2,0
LS,1,5,k,2,0
LS,1,6,k,2,0
LS,1,7,k,2,0
LS,1,8,k,2,0
LS,1,9,k,2,0
LS,1,10,k,2,0
LS,1,11,k,2,0
LS,1,12,k,2,0
LS,1,13,k,2,0
LS,1,14,k,2,0
LS,1,15,k,2,0
LS,1,16,k,2,0
LS,1,17,k,2,0
LS,1,18,k,2,0
LS,1,19,k,2,0
LS,1,20,k,2,0
LS,1,1,k,4,0
LS,1,2,k,4,0
LS,1,3,k,4,0
LS,1,4,k,4,0
LS,1,5,k,4,0
LS,1,6,k,4,0
LS,1,7,k,4,1
LS,1,8,k,4,1
LS,1,9,k,4,0
LS,1,10,k,4,0
LS,1,11,k,4,1
LS,1,12,k,4,1
LS,1,13,k,4,0
LS,1,14,k,4,0
LS,1,15,k,4,0
LS,1,16,k,4,0
LS,1,17,k,4,0
LS,1,18,k,4,1
LS,1,19,k,4,1
LS,1,20,k,4,1
LS,1,1,l,2,0
LS,1,2,l,2,0
LS,1,3,l,2,0
LS,1,4,l,2,0
LS,1,5,l,2,0
LS,1,6,l,2,0
LS,1,7,l,2,0
LS,1,8,l,2,0
LS,1,9,l,2,0
LS,1,10,l,2,0
LS,1,11,l,2,0
LS,1,12,l,2,0
LS,1,13,l,2,0
LS,1,14,l,2,0
LS,1,15,l,2,0
LS,1,16,l,2,0
LS,1,17,l,2,0
LS,1,18,l,2,0
LS,1,19,l,2,0
LS,1,20,l,2,0
LS,1,1,l,4,0
LS,1,2,l,4,0
LS,1,3,l,4,0
LS,1,4,l,4,0
LS,1,5,l,4,0
LS,1,6,l,4,0
LS,1,7,l,4,0
LS,1,8,l,4,0
LS,1,9,l,4,0
LS,1,10,l,4,0
LS,1,11,l,4,0
LS,1,12,l,4,0
LS,1,13,l,4,0
LS,1,14,l,4,0
LS,1,15,l,4,0
LS,1,16,l,4,0
LS,1,17,l,4,0
LS,1,18,l,4,0
LS,1,19,l,4,0
LS,1,20,l,4,0
LS,1,1,m,2,0
LS,1,2,m,2,0
LS,1,3,m,2,0
LS,1,4,m,2,0
LS,1,5,m,2,0
LS,1,6,m,2,0
LS,1,7,m,2,0
LS,1,8,m,2,0
LS,1,9,m,2,0
LS,1,10,m,2,0
LS,1,11,m,2,0
LS,1,12,m,2,0
LS,1,13,m,2,0
LS,1,14,m,2,0
LS,1,15,m,2,0
LS,1,16,m,2,0
LS,1,17,m,2,1
LS,1,18,m,2,0
LS,1,19,m,2,1
LS,1,20,m,2,0
LS,1,1,m,4,0
LS,1,2,m,4,0
LS,1,3,m,4,0
LS,1,4,m,4,0
LS,1,5,m,4,0
LS,1,6,m,4,0
LS,1,7,m,4,0
LS,1,8,m,4,0
LS,1,9,m,4,0
LS,1,10,m,4,1
LS,1,11,m,4,0
LS,1,12,m,4,1
LS,1,13,m,4,1
LS,1,14,m,4,1
LS,1,15,m,4,0
LS,1,16,m,4,0
LS,1,17,m,4,0
LS,1,18,m,4,1
LS,1,19,m,4,1
LS,1,20,m,4,1
LS,1,1,n,2,0
LS,1,2,n,2,0
LS,1,3,n,2,0
LS,1,4,n,2,0
LS,1,5,n,2,0
LS,1,6,n,2,0
LS,1,7,n,2,0
LS,1,8,n,2,0
LS,1,9,n,2,0
LS,1,10,n,2,0
LS,1,11,n,2,0
LS,1,12,n,2,0
LS,1,13,n,2,0
LS,1,14,n,2,0
LS,1,15,n,2,0
LS,1,16,n,2,0
LS,1,17,n,2,1
LS,1,18,n,2,1
LS,1,19,n,2,0
LS,1,20,n,2,1
LS,1,1,n,4,0
LS,1,2,n,4,0
LS,1,3,n,4,0
LS,1,4,n,4,0
LS,1,5,n,4,0
LS,1,6,n,4,0
LS,1,7,n,4,0
LS,1,8,n,4,0
LS,1,9,n,4,0
LS,1,10,n,4,0
LS,1,11,n,4,0
LS,1,12,n,4,0
LS,1,13,n,4,0
LS,1,14,n,4,0
LS,1,15,n,4,0
LS,1,16,n,4,0
LS,1,17,n,4,1
LS,1,18,n,4,1
LS,1,19,n,4,0
LS,1,20,n,4,1
LS,1,1,o,2,0
LS,1,2,o,2,0
LS,1,3,o,2,0
LS,1,4,o,2,0
LS,1,5,o,2,0
LS,1,6,o,2,0
LS,1,7,o,2,0
LS,1,8,o,2,0
LS,1,9,o,2,0
LS,1,10,o,2,0
LS,1,11,o,2,1
LS,1,12,o,2,0
LS,1,13,o,2,0
LS,1,14,o,2,1
LS,1,15,o,2,0
LS,1,16,o,2,0
LS,1,17,o,2,1
LS,1,18,o,2,0
LS,1,19,o,2,0
LS,1,20,o,2,0
LS,1,1,o,4,0
LS,1,2,o,4,0
LS,1,3,o,4,0
LS,1,4,o,4,0
LS,1,5,o,4,1
LS,1,6,o,4,1
LS,1,7,o,4,1
LS,1,8,o,4,1
LS,1,9,o,4,1
LS,1,10,o,4,1
LS,1,11,o,4,1
LS,1,12,o,4,1
LS,1,13,o,4,1
LS,1,14,o,4,1
LS,1,15,o,4,0
LS,1,16,o,4,0
LS,1,17,o,4,1
LS,1,18,o,4,1
LS,1,19,o,4,1
LS,1,20,o,4,1
LS,2,1,a,2,0
LS,2,2,a,2,0
LS,2,3,a,2,0
LS,2,4,a,2,0
LS,2,5,a,2,0
LS,2,6,a,2,0
LS,2,7,a,2,0
LS,2,8,a,2,1
LS,2,9,a,2,1
LS,2,10,a,2,1
LS,2,11,a,2,1
LS,2,12,a,2,1
LS,2,13,a,2,1
LS,2,14,a,2,0
LS,2,15,a,2,0
LS,2,16,a,2,0
LS,2,17,a,2,0
LS,2,18,a,2,0
LS,2,19,a,2,0
LS,2,20,a,2,0
LS,2,1,a,4,1
LS,2,2,a,4,0
LS,2,3,a,4,0
LS,2,4,a,4,0
LS,2,5,a,4,1
LS,2,6,a,4,1
LS,2,7,a,4,1
LS,2,8,a,4,1
LS,2,9,a,4,1
LS,2,10,a,4,1
LS,2,11,a,4,1
LS,2,12,a,4,1
LS,2,13,a,4,1
LS,2,14,a,4,0
LS,2,15,a,4,0
LS,2,16,a,4,0
LS,2,17,a,4,0
LS,2,18,a,4,0
LS,2,19,a,4,0
LS,2,20,a,4,0
LS,2,1,b,2,0
LS,2,2,b,2,0
LS,2,3,b,2,0
LS,2,4,b,2,0
LS,2,5,b,2,0
LS,2,6,b,2,0
LS,2,7,b,2,0
LS,2,8,b,2,0
LS,2,9,b,2,0
LS,2,10,b,2,0
LS,2,11,b,2,0
LS,2,12,b,2,0
LS,2,13,b,2,0
LS,2,14,b,2,0
LS,2,15,b,2,0
LS,2,16,b,2,0
LS,2,17,b,2,0
LS,2,18,b,2,0
LS,2,19,b,2,0
LS,2,20,b,2,0
LS,2,1,b,4,0
LS,2,2,b,4,0
LS,2,3,b,4,0
LS,2,4,b,4,0
LS,2,5,b,4,0
LS,2,6,b,4,0
LS,2,7,b,4,0
LS,2,8,b,4,0
LS,2,9,b,4,0
LS,2,10,b,4,0
LS,2,11,b,4,0
LS,2,12,b,4,0
LS,2,13,b,4,0
LS,2,14,b,4,0
LS,2,15,b,4,0
LS,2,16,b,4,0
LS,2,17,b,4,0
LS,2,18,b,4,0
LS,2,19,b,4,0
LS,2,20,b,4,0
LS,2,1,c,2,1
LS,2,2,c,2,0
LS,2,3,c,2,0
LS,2,4,c,2,0
LS,2,5,c,2,0
LS,2,6,c,2,0
LS,2,7,c,2,0
LS,2,8,c,2,0
LS,2,9,c,2,0
LS,2,10,c,2,0
LS,2,11,c,2,0
LS,2,12,c,2,0
LS,2,13,c,2,0
LS,2,14,c,2,0
LS,2,15,c,2,0
LS,2,16,c,2,0
LS,2,17,c,2,0
LS,2,18,c,2,0
LS,2,19,c,2,0
LS,2,20,c,2,0
LS,2,1,c,4,1
LS,2,2,c,4,0
LS,2,3,c,4,0
LS,2,4,c,4,0
LS,2,5,c,4,0
LS,2,6,c,4,0
LS,2,7,c,4,0
LS,2,8,c,4,0
LS,2,9,c,4,0
LS,2,10,c,4,0
LS,2,11,c,4,0
LS,2,12,c,4,0
LS,2,13,c,4,0
LS,2,14,c,4,0
LS,2,15,c,4,0
LS,2,16,c,4,0
LS,2,17,c,4,0
LS,2,18,c,4,0
LS,2,19,c,4,0
LS,2,20,c,4,0
LS,2,1,d,2,0
LS,2,2,d,2,0
LS,2,3,d,2,0
LS,2,4,d,2,0
LS,2,5,d,2,0
LS,2,6,d,2,0
LS,2,7,d,2,0
LS,2,8,d,2,0
LS,2,9,d,2,0
LS,2,10,d,2,0
LS,2,11,d,2,0
LS,2,12,d,2,0
LS,2,13,d,2,0
LS,2,14,d,2,0
LS,2,15,d,2,0
LS,2,16,d,2,0
LS,2,17,d,2,0
LS,2,18,d,2,0
LS,2,19,d,2,0
LS,2,20,d,2,0
LS,2,1,d,4,0
LS,2,2,d,4,0
LS,2,3,d,4,0
LS,2,4,d,4,0
LS,2,5,d,4,0
LS,2,6,d,4,0
LS,2,7,d,4,0
LS,2,8,d,4,0
LS,2,9,d,4,0
LS,2,10,d,4,0
LS,2,11,d,4,0
LS,2,12,d,4,0
LS,2,13,d,4,0
LS,2,14,d,4,0
LS,2,15,d,4,0
LS,2,16,d,4,0
LS,2,17,d,4,0
LS,2,18,d,4,0
LS,2,19,d,4,0
LS,2,20,d,4,0
LS,2,1,e,2,1
LS,2,2,e,2,0
LS,2,3,e,2,0
LS,2,4,e,2,0
LS,2,5,e,2,0
LS,2,6,e,2,0
LS,2,7,e,2,0
LS,2,8,e,2,0
LS,2,9,e,2,0
LS,2,10,e,2,0
LS,2,11,e,2,0
LS,2,12,e,2,0
LS,2,13,e,2,0
LS,2,14,e,2,0
LS,2,15,e,2,0
LS,2,16,e,2,0
LS,2,17,e,2,0
LS,2,18,e,2,0
LS,2,19,e,2,0
LS,2,20,e,2,0
LS,2,1,e,4,1
LS,2,2,e,4,0
LS,2,3,e,4,0
LS,2,4,e,4,0
LS,2,5,e,4,0
LS,2,6,e,4,0
LS,2,7,e,4,0
LS,2,8,e,4,0
LS,2,9,e,4,0
LS,2,10,e,4,0
LS,2,11,e,4,0
LS,2,12,e,4,0
LS,2,13,e,4,0
LS,2,14,e,4,0
LS,2,15,e,4,0
LS,2,16,e,4,0
LS,2,17,e,4,0
LS,2,18,e,4,0
LS,2,19,e,4,0
LS,2,20,e,4,0
LS,2,1,f,2,0
LS,2,2,f,2,0
LS,2,3,f,2,0
LS,2,4,f,2,0
LS,2,5,f,2,0
LS,2,6,f,2,0
LS,2,7,f,2,0
LS,2,8,f,2,0
LS,2,9,f,2,0
LS,2,10,f,2,0
LS,2,11,f,2,0
LS,2,12,f,2,0
LS,2,13,f,2,0
LS,2,14,f,2,0
LS,2,15,f,2,0
LS,2,16,f,2,0
LS,2,17,f,2,0
LS,2,18,f,2,0
LS,2,19,f,2,0
LS,2,20,f,2,0
LS,2,1,f,4,0
LS,2,2,f,4,0
LS,2,3,f,4,0
LS,2,4,f,4,0
LS,2,5,f,4,0
LS,2,6,f,4,0
LS,2,7,f,4,0
LS,2,8,f,4,0
LS,2,9,f,4,0
LS,2,10,f,4,0
LS,2,11,f,4,0
LS,2,12,f,4,0
LS,2,13,f,4,0
LS,2,14,f,4,0
LS,2,15,f,4,0
LS,2,16,f,4,0
LS,2,17,f,4,0
LS,2,18,f,4,0
LS,2,19,f,4,0
LS,2,20,f,4,0
LS,2,1,g,2,0
LS,2,2,g,2,1
LS,2,3,g,2,0
LS,2,4,g,2,0
LS,2,5,g,2,0
LS,2,6,g,2,0
LS,2,7,g,2,0
LS,2,8,g,2,0
LS,2,9,g,2,0
LS,2,10,g,2,0
LS,2,11,g,2,0
LS,2,12,g,2,0
LS,2,13,g,2,0
LS,2,14,g,2,0
LS,2,15,g,2,0
LS,2,16,g,2,0
LS,2,17,g,2,0
LS,2,18,g,2,0
LS,2,19,g,2,0
LS,2,20,g,2,0
LS,2,1,g,4,0
LS,2,2,g,4,1
LS,2,3,g,4,0
LS,2,4,g,4,0
LS,2,5,g,4,0
LS,2,6,g,4,0
LS,2,7,g,4,0
LS,2,8,g,4,0
LS,2,9,g,4,0
LS,2,10,g,4,0
LS,2,11,g,4,0
LS,2,12,g,4,0
LS,2,13,g,4,0
LS,2,14,g,4,0
LS,2,15,g,4,0
LS,2,16,g,4,0
LS,2,17,g,4,0
LS,2,18,g,4,0
LS,2,19,g,4,0
LS,2,20,g,4,0
LS,2,1,h,2,0
LS,2,2,h,2,0
LS,2,3,h,2,0
LS,2,4,h,2,0
LS,2,5,h,2,0
LS,2,6,h,2,0
LS,2,7,h,2,0
LS,2,8,h,2,0
LS,2,9,h,2,0
LS,2,10,h,2,0
LS,2,11,h,2,0
LS,2,12,h,2,0
LS,2,13,h,2,0
LS,2,14,h,2,0
LS,2,15,h,2,0
LS,2,16,h,2,0
LS,2,17,h,2,0
LS,2,18,h,2,0
LS,2,19,h,2,0
LS,2,20,h,2,0
LS,2,1,h,4,0
LS,2,2,h,4,0
LS,2,3,h,4,0
LS,2,4,h,4,0
LS,2,5,h,4,0
LS,2,6,h,4,0
LS,2,7,h,4,0
LS,2,8,h,4,0
LS,2,9,h,4,0
LS,2,10,h,4,0
LS,2,11,h,4,0
LS,2,12,h,4,0
LS,2,13,h,4,0
LS,2,14,h,4,0
LS,2,15,h,4,0
LS,2,16,h,4,0
LS,2,17,h,4,0
LS,2,18,h,4,0
LS,2,19,h,4,0
LS,2,20,h,4,0
LS,2,1,i,2,0
LS,2,2,i,2,0
LS,2,3,i,2,1
LS,2,4,i,2,0
LS,2,5,i,2,0
LS,2,6,i,2,0
LS,2,7,i,2,0
LS,2,8,i,2,0
LS,2,9,i,2,0
LS,2,10,i,2,0
LS,2,11,i,2,0
LS,2,12,i,2,0
LS,2,13,i,2,0
LS,2,14,i,2,0
LS,2,15,i,2,0
LS,2,16,i,2,0
LS,2,17,i,2,0
LS,2,18,i,2,0
LS,2,19,i,2,0
LS,2,20,i,2,0
LS,2,1,i,4,1
LS,2,2,i,4,0
LS,2,3,i,4,1
LS,2,4,i,4,0
LS,2,5,i,4,0
LS,2,6,i,4,0
LS,2,7,i,4,0
LS,2,8,i,4,0
LS,2,9,i,4,0
LS,2,10,i,4,0
LS,2,11,i,4,0
LS,2,12,i,4,0
LS,2,13,i,4,0
LS,2,14,i,4,0
LS,2,15,i,4,0
LS,2,16,i,4,0
LS,2,17,i,4,0
LS,2,18,i,4,0
LS,2,19,i,4,0
LS,2,20,i,4,0
LS,2,1,j,2,0
LS,2,2,j,2,0
LS,2,3,j,2,0
LS,2,4,j,2,0
LS,2,5,j,2,0
LS,2,6,j,2,0
LS,2,7,j,2,0
LS,2,8,j,2,0
LS,2,9,j,2,0
LS,2,10,j,2,0
LS,2,11,j,2,0
LS,2,12,j,2,0
LS,2,13,j,2,0
LS,2,14,j,2,0
LS,2,15,j,2,0
LS,2,16,j,2,0
LS,2,17,j,2,0
LS,2,18,j,2,0
LS,2,19,j,2,0
LS,2,20,j,2,0
LS,2,1,j,4,0
LS,2,2,j,4,0
LS,2,3,j,4,0
LS,2,4,j,4,0
LS,2,5,j,4,0
LS,2,6,j,4,0
LS,2,7,j,4,0
LS,2,8,j,4,0
LS,2,9,j,4,0
LS,2,10,j,4,0
LS,2,11,j,4,0
LS,2,12,j,4,0
LS,2,13,j,4,0
LS,2,14,j,4,0
LS,2,15,j,4,0
LS,2,16,j,4,0
LS,2,17,j,4,0
LS,2,18,j,4,0
LS,2,19,j,4,0
LS,2,20,j,4,0
LS,2,1,k,2,0
LS,2,2,k,2,0
LS,2,3,k,2,1
LS,2,4,k,2,0
LS,2,5,k,2,0
LS,2,6,k,2,0
LS,2,7,k,2,0
LS,2,8,k,2,0
LS,2,9,k,2,0
LS,2,10,k,2,0
LS,2,11,k,2,0
LS,2,12,k,2,0
LS,2,13,k,2,0
LS,2,14,k,2,0
LS,2,15,k,2,0
LS,2,16,k,2,0
LS,2,17,k,2,0
LS,2,18,k,2,0
LS,2,19,k,2,0
LS,2,20,k,2,0
LS,2,1,k,4,0
LS,2,2,k,4,0
LS,2,3,k,4,1
LS,2,4,k,4,0
LS,2,5,k,4,0
LS,2,6,k,4,0
LS,2,7,k,4,0
LS,2,8,k,4,0
LS,2,9,k,4,0
LS,2,10,k,4,0
LS,2,11,k,4,0
LS,2,12,k,4,0
LS,2,13,k,4,0
LS,2,14,k,4,0
LS,2,15,k,4,0
LS,2,16,k,4,0
LS,2,17,k,4,0
LS,2,18,k,4,0
LS,2,19,k,4,0
LS,2,20,k,4,0
LS,2,1,l,2,0
LS,2,2,l,2,0
LS,2,3,l,2,0
LS,2,4,l,2,0
LS,2,5,l,2,0
LS,2,6,l,2,0
LS,2,7,l,2,0
LS,2,8,l,2,0
LS,2,9,l,2,0
LS,2,10,l,2,0
LS,2,11,l,2,0
LS,2,12,l,2,0
LS,2,13,l,2,0
LS,2,14,l,2,0
LS,2,15,l,2,0
LS,2,16,l,2,0
LS,2,17,l,2,0
LS,2,18,l,2,0
LS,2,19,l,2,0
LS,2,20,l,2,0
LS,2,1,l,4,1
LS,2,2,l,4,0
LS,2,3,l,4,0
LS,2,4,l,4,0
LS,2,5,l,4,0
LS,2,6,l,4,0
LS,2,7,l,4,0
LS,2,8,l,4,0
LS,2,9,l,4,0
LS,2,10,l,4,0
LS,2,11,l,4,0
LS,2,12,l,4,0
LS,2,13,l,4,0
